"experiment","Group","senID","item","type","condition","sentence","selection","ID","w1","w2","w3"
"posterior","A","14","PO-A-14","co-argument","taziji","张伟说李华把他自己弄骨折了。","Clause Subject","e7e8-373d-c514-4a8d","zhangwei.png","lihua.png","other.png"
"posterior","A","25","PO-A-25","possessor","ta","李华说张伟把他的小狗找回来了。","Speaker","e7e8-373d-c514-4a8d","lihua.png","zhangwei.png","other.png"
"posterior","A","15","PO-A-15","co-argument","ziji","张伟说小明把自己逗笑了。","Clause Subject","e7e8-373d-c514-4a8d","zhangwei.png","xiaoming.png","other.png"
"posterior","A","24","PO-A-24","possessor","ziji","李华说王刚把自己的证件弄丢了。","Clause Subject","e7e8-373d-c514-4a8d","lihua.png","wanggang.png","other.png"
"posterior","A","10","PO-A-10","co-argument","ta","王刚说小明把他逼得太紧了。","Speaker","e7e8-373d-c514-4a8d","wanggang.png","xiaoming.png","other.png"
"posterior","A","5","PO-A-5","co-argument","taziji","小明说李华把他自己弄伤了。","Clause Subject","e7e8-373d-c514-4a8d","xiaoming.png","lihua.png","other.png"
"posterior","A","28","PO-A-28","possessor","ta","张伟说小明把他的秘密告诉了别人。","Speaker","e7e8-373d-c514-4a8d","zhangwei.png","xiaoming.png","other.png"
"posterior","A","8","PO-A-8","co-argument","taziji","小明说李华把他自己绊倒了。","Clause Subject","e7e8-373d-c514-4a8d","xiaoming.png","lihua.png","other.png"
"posterior","A","16","PO-A-16","possessor","ta","小明说王刚把他的照片发到了朋友圈。","Speaker","e7e8-373d-c514-4a8d","xiaoming.png","wanggang.png","other.png"
"posterior","A","7","PO-A-7","co-argument","ta","小明说李华把他灌醉了。","Speaker","e7e8-373d-c514-4a8d","xiaoming.png","lihua.png","other.png"
"posterior","A","23","PO-A-23","possessor","taziji","王刚说张伟把他自己的孩子搂在了怀里。","Clause Subject","e7e8-373d-c514-4a8d","wanggang.png","zhangwei.png","other.png"
"posterior","A","13","PO-A-13","co-argument","ta","张伟说王刚把他吓坏了。","Speaker","e7e8-373d-c514-4a8d","zhangwei.png","wanggang.png","other.png"
"posterior","A","6","PO-A-6","co-argument","ziji","小明说张伟把自己想像成侦探了。","Clause Subject","e7e8-373d-c514-4a8d","xiaoming.png","zhangwei.png","other.png"
"posterior","A","19","PO-A-19","possessor","ta","小明说王刚把他的作业遗漏了。","Speaker","e7e8-373d-c514-4a8d","xiaoming.png","wanggang.png","other.png"
"posterior","A","18","PO-A-18","possessor","ziji","小明说张伟把自己的想法忘记了。","Clause Subject","e7e8-373d-c514-4a8d","xiaoming.png","zhangwei.png","other.png"
